adobe-source-sans-pro-fonts 3.006-2
ttf-ubuntu-font-family 0.83-6
ttf-unifont 13.0.03-1
ueberzug 18.1.6-2
ufw 0.36-3
unrar 1:5.9.4-1
unzip 6.0-14
usb_modeswitch 2.6.1-1
usbutils 012-2
vim 8.2.0814-3
virtualbox 6.1.12-3
virtualbox-host-modules-arch 6.1.12-3
vlc 3.0.11-1
wd719x-firmware 1-6
wget 1.20.3-3
which 2.21-5
wireless_tools 30.pre9-3
woeusb 3.3.1-2
words 2.1-6
wpa_actiond 1.4-4
wpa_supplicant 2:2.9-7
xarchiver 0.5.4.15-1
xautolock 2.2-6
xdg-user-dirs 0.17-3
xdg-utils-mimeo 1.1.3+19+g9816ebb-4
xdotool 3.20160805.1-3
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-vesa 2.4.0-3
xfce4-appfinder 4.14.0-2
xfce4-power-manager 1.6.6-1
xfce4-settings 4.14.3-1
xinput-gui 0.3.1-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server-devel 1.20.8-2
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-twm 1.0.11-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xclock 1.0.9-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinput 1.6.3-2
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
